SECTOR,YEAR,CENTRALITY,N_MAKE,N_USE,PCT_MAKE,PCT_USE
193.0,2014.0,0.0,0.0,0.0,0.0,0.0
194.0,2014.0,0.0,0.0,0.0,0.0,0.0
195.0,2014.0,0.0,14.0,173.0,0.8737003434206775,0.9917737230643641
196.0,2014.0,0.0,0.0,0.0,0.0,0.0
197.0,2014.0,0.0,0.0,0.0,0.0,0.0
198.0,2014.0,0.0,0.0,0.0,0.0,0.0
199.0,2014.0,0.0,0.0,0.0,0.0,0.0
200.0,2014.0,0.006072208,49.0,0.0,0.7103627267066104,0.0
201.0,2014.0,0.002619932,1.0,0.0,0.03354518845558985,0.0
202.0,2014.0,0.0,0.0,164.0,0.0,1.0
203.0,2014.0,0.0,0.0,15.0,0.0,1.0
204.0,2014.0,0.0,0.0,37.0,0.0,1.0
205.0,2014.0,0.0,0.0,0.0,0.0,0.0
1.0,2015.0,0.047709808,6.0,63.0,0.026274183720757738,0.9044884855955003
2.0,2015.0,-0.000610238,3.0,31.0,0.02308758498942831,0.8171624989562347
3.0,2015.0,-0.000203168,2.0,29.0,0.013181137534267195,0.9917638523636606
4.0,2015.0,0.001436518,1.0,6.0,0.003584545176481879,0.9438496184598664
5.0,2015.0,0.011747063,1.0,23.0,0.0017150115731063842,1.0
6.0,2015.0,0.011747063,2.0,9.0,0.0016670680712086439,1.0
7.0,2015.0,-0.063090865,11.0,146.0,0.20060092405711283,0.9496383720265181
8.0,2015.0,-0.274361908,8.0,134.0,0.17901329821098955,0.8905902733984157
9.0,2015.0,-0.274361908,5.0,68.0,0.11233154530622036,0.9150251494225285
10.0,2015.0,-0.001373964,11.0,59.0,0.13876692617570874,0.9748004804843319
11.0,2015.0,0.247521885,8.0,7.0,0.05454630150865092,0.8909519729463468
12.0,2015.0,0.247521885,7.0,188.0,0.024280962763378544,0.9309451013783777
13.0,2015.0,0.03953851,8.0,188.0,0.017120381108800542,0.9997552607438162
14.0,2015.0,0.002437746,8.0,188.0,0.1621495977738846,0.9962299173448904
15.0,2015.0,0.002437746,2.0,186.0,0.001997521283913728,0.999070952428528
16.0,2015.0,-0.014477278,13.0,21.0,0.053239128034787364,0.9939744620011807
17.0,2015.0,-0.014477278,14.0,53.0,0.07206597740366183,0.7211656697012812
18.0,2015.0,-0.015837219,10.0,32.0,0.03353416857086844,0.5806764193257903
19.0,2015.0,-0.015837219,16.0,33.0,0.04635852570281718,0.7714388302000209
20.0,2015.0,-0.14540229,12.0,42.0,0.09738571461983048,0.581175141402209
